Breed,Age,Height,Weight,Character Traits,Health_Problems
Xoloitzcuintli,16,41.91,14.74175203,"Loyal, Alert, Calm","Dental problems, eye issues, skin allergies"
Parson Russell Terrier,11,34.29,6.80388555,"Friendly, Clever, Athletic","Hip dysplasia, heart conditions, cancer"
Papillon,14,24.13,3.401942775,"Friendly, Alert, Happy","Dental problems, eye issues, skin allergies"
Border Terrier,13.5,34.29,6.123496995,"Affectionate, Happy, Plucky","Dental problems, eye issues, skin allergies"
Sealyham Terrier,13,26.67,10.6594207,"Alert, Outgoing, Sense Of Humor","Hip dysplasia, heart conditions, cancer"
Tibetan Spaniel,16,25.4,5.44310844,"Playful, Bright, Self-Confident","Dental problems, eye issues, skin allergies"
Eurasier,13,54.61,24.94758035,"Confident, Calm, Family-Oriented","Dental problems, eye issues, skin allergies"
Belgian Malinois,13.5,60.96,27.2155422,"Confident, Smart, Hardworking","Dental problems, eye issues, skin allergies"
Mudi,14,42.545,10.6594207,"Loyal, Intelligent, Active","Skin allergies, eye problems, hip dysplasia"
Gordon Setter,9,63.5,28.34952312,"Affectionate, Confident, Bold","Hip dysplasia, epilepsy, bladder stones"
Chihuahua,11,16.51,2.72155422,"Charming, Graceful, Sassy","Dental problems, eye problems, skin allergies"
Caucasian Shepherd Dog,11,67.31,61.00817377,"Fearless, Bold, Kind","Hip dysplasia, heart conditions, cancer"
Kromfohrlander,13,41.91,12.47379018,"Intelligent, Active, Sensitive","Dental problems, skin allergies, hip dysplasia"
Transylvanian Hound,15,60.96,24.94758035,"Courageous, Good-Natured, Determined","Hip dysplasia, cancer, skin allergies"
Biewer Terrier,11,22.86,2.72155422,"Intelligent, Devoted, Amusing","Hip dysplasia, eye problems, cancer"
Miniature Bull Terrier,12,30.48,10.43262451,"Upbeat, Mischievous, Comical","Dental problems, eye issues, skin allergies"
German Pinscher,13.5,46.99,15.87573295,"Courageous, Intelligent, Vivacious","Dental problems, eye issues, skin allergies"
Catahoula Leopard Dog,12.5,58.42,32.88544683,"Loyal, Independent, Watchful","Skin allergies, eye problems, hip dysplasia"
Spanish Water Dog,13.5,45.085,18.1436948,Playful but also Work-Oriented. Very Active and Upbeat.,"Hip dysplasia, eye problems, cancer"
Giant Schnauzer,13.5,64.77,31.7514659,"Loyal, Alert, Trainable","Dental problems, skin allergies, hip dysplasia"
Bohemian Shepherd,12,52.07,21.99922995,"Friendly, Devoted, Alert and Intelligent","Dental problems, eye issues, skin allergies"
Deutscher Wachtelhund,12.5,49.53,21.54563758,"Friendly, Versatile, Determined","Dental problems, eye issues, skin allergies"
Poodle (Toy),13,25.4,2.26796185,"Agile, Intelligent, Self-Confident","Dental problems, eye problems, obesity"
Chow Chow,14,46.99,26.08156128,"Dignified, Bright, Serious-Minded","Hip dysplasia, eye problems, cancer"
Pekingese,12,19.05,6.35029318,"Affectionate, Loyal, Regal in Manner","Dental problems, eye issues, skin allergies"
Chesapeake Bay Retriever,15,59.69,30.61748498,"Affectionate, Bright, Sensitive","Hip dysplasia, heart conditions, cancer"
Irish Wolfhound,13,78.74,51.02914163,"Courageous, Dignified, Calm","Hip dysplasia, elbow dysplasia, pancreatitis"
Staffordshire Bull Terrier,12.5,38.1,14.06136347,"Clever, Brave, Tenacious","Dental problems, eye issues, skin allergies"
Nederlandse Kooikerhondje,12,39.37,11.33980925,"Friendly, Alert, Quick","Hip dysplasia, epilepsy, bladder stones"
Pudelpointer,13.5,60.96,26.08156128,"Friendly, Smart, Willing to Please","Dental problems, eye issues, skin allergies"
American English Coonhound,13,62.23,24.94758035,"Sweet, Mellow, Sociable","Dental problems, eye issues, skin allergies"
Pharaoh Hound,13,58.42,22.6796185,"Friendly, Smart, Noble","Dental problems, eye issues, skin allergies"
Great Dane,8.5,76.2,64.63691273,"Friendly, Patient, Dependable","Dental problems, eye issues, skin allergies"
American English Coonhound,11.5,62.23,24.94758035,"Sweet, Mellow, Sociable","Dental problems, eye issues, skin allergies"
Portuguese Pointer,14,53.975,21.31884139,"Affectionate, Smart, Energetic","Dental problems, eye issues, skin allergies"
Treeing Walker Coonhound,12.5,59.69,27.2155422,"Smart, Brave, Courteous","Dental problems, eye issues, skin allergies"
Carolina Dog,12.54054312,47.3075,19.27767573,"Loyal, Independent, Reserved with Strangers","Dental problems, eye issues, skin allergies"
Chow Chow,10,46.99,26.08156128,"Dignified, Bright, Serious-Minded","Dental problems, eye issues, skin allergies"
Italian Greyhound,14.5,35.56,4.762719885,"Playful, Alert, Sensitive","Dental problems, eye issues, skin allergies"
Braque Francais Pyrenean,12.54054312,52.705,21.54563758,"Friendly, Smart, Willing to Please","Hip dysplasia, epilepsy, bladder stones"
Bearded Collie,13,53.34,22.6796185,"Smart, Bouncy, Charismatic","Hip dysplasia, eye problems, hereditary myopathy"
Samoyed,13,53.975,22.6796185,"Adaptable, Friendly, Gentle","Dental problems, eye issues, skin allergies"
Drentsche Patrijshond,12.5,58.42,27.44233839,"Loyal, Intelligent, Sensitive","Hip dysplasia, eye problems, hereditary myopathy"
Löwchen,15,30.48,5.669904625,"Affectionate, Outgoing, Positive","Ear infections, hip dysplasia, eye problems"
Yorkshire Terrier,13,19.05,3.17514659,"Affectionate, Sprightly, Tomboyish","Skin allergies, eye problems, hip dysplasia"
Swedish Lapphund,13,45.72,17.00971388,"Playful, Intelligent, Lively","Breathing problems, eye problems, hip dysplasia"
Great Dane,8.5,76.2,64.63691273,"Friendly, Patient, Dependable","Dental problems, eye issues, skin allergies"
Treeing Tennessee Brindle,11,50.8,18.1436948,"Friendly, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Spanish Mastiff,11,80.01,77.1107029,"Affectionate, Intelligent, Kind","Dental problems, pancreatitis, diabetes"
Bichon Frise,14.5,26.67,6.80388555,"Playful, Curious, Peppy","Dental problems, eye issues, skin allergies"
Portuguese Podengo Pequeno,13.5,25.4,4.98951607,"Playful, Charming, Lively","Dental problems, eye issues, skin allergies"
Alaskan Malamute,12,60.96,36.2873896,"Affectionate, Loyal, Playful","Dental problems, eye issues, skin allergies"
Sussex Spaniel,14,35.56,18.1436948,"Friendly, Merry, Even-Tempered","Dental problems, eye issues, skin allergies"
Catahoula Leopard Dog,12,58.42,32.88544683,"Loyal, Independent, Watchful","Hip dysplasia, heart conditions, cancer"
Schapendoes,13.5,45.72,18.37049099,"Friendly, Watchful, Lively","Hip dysplasia, cancer, skin allergies"
Hovawart,12,64.77,35.15340868,"Alert, Faithful, Intelligent","Hip dysplasia, obesity, ear infections"
Puli,12.5,41.91,13.6077711,"Loyal, Smart, Home-Loving","Dental problems, eye problems, skin allergies"
Boerboel,10,62.23,79.37866475,"Confident, Intelligent, Calm","Hip dysplasia, eye problems, cancer"
German Spitz,14,34.29,11.33980925,"Devoted, Lively, Attentive","Dental problems, eye issues, skin allergies"
Pyrenean Mastiff,11.5,71.12,81.6466266,"Gentle, Brave, Noble","Dental problems, eye issues, skin allergies"
Drentsche Patrijshond,12.5,58.42,27.44233839,"Loyal, Intelligent, Sensitive","Hip dysplasia, eye problems, epilepsy"
American Hairless Terrier,15,35.56,6.35029318,"Energetic, Alert, Curious","Dental problems, eye issues, skin allergies"
Bergamasco Sheepdog,14,57.785,31.97826209,"Independent, Sociable, Intelligent","Dental problems, respiratory issues, eye problems"
Bohemian Shepherd,13.5,52.07,21.99922995,"Friendly, Devoted, Alert and Intelligent","Dental problems, skin allergies, hip dysplasia"
Golden Retriever,11,57.785,29.48350405,"Friendly, Intelligent, Devoted","Dental problems, skin allergies, hip dysplasia"
Xoloitzcuintli,15.5,41.91,14.74175203,"Loyal, Alert, Calm","Hip dysplasia, eye problems, epilepsy"
Norrbottenspets,15.5,43.815,11.33980925,"Fearless, Agile, Attentive","Ear infections, hip dysplasia, epilepsy"
Weimaraner,11.5,63.5,32.88544683,"Friendly, Fearless, Obedient","Hip dysplasia, eye problems, cancer"
Pudelpointer,14,60.96,26.08156128,"Friendly, Smart, Willing to Please","Hip dysplasia, heart conditions, cancer"
Peruvian Inca Orchid,13,45.085,14.40155775,"Affectionate, Loyal, Noble","Dental problems, eye issues, skin allergies"
Gordon Setter,12.5,63.5,28.34952312,"Affectionate, Confident, Bold","Dental problems, eye issues, skin allergies"
Basset Hound,12.5,38.1,23.81359943,"Charming, Patient, Low-Key","Dental problems, eye issues, skin allergies"
Nederlandse Kooikerhondje,13.5,39.37,11.33980925,"Friendly, Alert, Quick","Dental problems, eye issues, skin allergies"
Slovensky Kopov,12.5,45.72,17.46330625,"Courageous, Alert, Determined","Hip dysplasia, eye problems, skin allergies"
Curly-Coated Retriever,11,63.5,35.15340868,"Confident, Proud, Wickedly Smart","Dental problems, eye issues, respiratory issues"
Keeshond,13.5,44.45,18.1436948,"Friendly, Lively, Outgoing","Dental problems, eye issues, skin allergies"
Yakutian Laika,11,55.88,21.54563758,"Affectionate, Intelligent, Active","Dental problems, eye issues, skin allergies"
Karelian Bear Dog,12,53.975,21.0920452,"Loyal, Independent, Courageous","Dental problems, eye issues, skin allergies"
Treeing Tennessee Brindle,11,50.8,18.1436948,"Friendly, Alert, Intelligent","Dental problems, eye problems, skin allergies"
Russian Tsvetnaya Bolonka,14,24.13,3.515340868,"Playful, Charming, Inquisitive","Hip dysplasia, epilepsy, bladder stones"
Norwegian Elkhound,13.5,50.8,23.36000706,"Friendly, Confident, Dependable","Dental problems, skin allergies, hip dysplasia"
American Leopard Hound,13.5,60.96,26.08156128,"Sociable, Energetic, Intelligent","Dental problems, eye issues, skin allergies"
Miniature Pinscher,14,28.575,4.08233133,"Fearless, Fun-Loving, Proud","Dental problems, skin allergies, hip dysplasia"
Canaan Dog,13.5,54.61,20.41165665,"Confident, Alert, Vigilant","Dental problems, skin allergies, hip dysplasia"
Mountain Cur,11.5,53.34,20.41165665,"Intelligent, Strong-Willed, Reserved with Strangers","Dental problems, skin allergies, hip dysplasia"
Peruvian Inca Orchid,13,45.085,14.40155775,"Affectionate, Loyal, Noble","Hip dysplasia, eye problems, cancer"
Saluki,13.5,64.77,23.81359943,"Gentle, Dignified, Independent-Minded","Hip dysplasia, obesity, ear infections"
English Cocker Spaniel,13,40.64,13.6077711,"Energetic, Merry, Responsive","Dental problems, eye problems, respiratory issues"
Yakutian Laika,11,55.88,21.54563758,"Affectionate, Intelligent, Active","Dental problems, eye issues, skin allergies"
Greyhound,11.5,72.39,29.48350405,"Gentle, Independent, Noble","Dental problems, eye issues, skin allergies"
Anatolian Shepherd Dog,12,71.12,52.16312255,"Loyal, Independent, Reserved","Hip dysplasia, eye problems, cancer"
Braque Francais Pyrenean,12.54054312,52.705,21.54563758,"Friendly, Smart, Willing to Please","Dental problems, respiratory issues, eye problems"
Cardigan Welsh Corgi,13.5,29.21,14.28815966,"Affectionate, Loyal, Smart","Dental problems, skin allergies, hip dysplasia"
Sloughi,12.5,67.31,19.27767573,"Reserved, Graceful, Noble","Dental problems, eye issues, skin allergies"
Great Pyrenees,11,72.39,41.95729423,"Smart, Patient, Calm","Hip dysplasia, cancer, heart conditions"
Portuguese Pointer,14,53.975,21.31884139,"Affectionate, Smart, Energetic","Dental problems, eye issues, skin allergies"
Tibetan Spaniel,13.5,25.4,5.44310844,"Playful, Bright, Self-Confident","Hip dysplasia, eye problems, cancer"
Finnish Spitz,14,45.085,12.02019781,"Friendly, Good-Natured, Lively","Hip dysplasia, eye problems, cancer"
Cocker Spaniel,12,36.83,11.33980925,"Gentle, Smart, Happy","Hip dysplasia, cancer, skin allergies"
Cairn Terrier,14,24.765,6.123496995,"Alert, Cheerful, Busy","Dental problems, eye problems, obesity"
Saluki,13.5,64.77,23.81359943,"Gentle, Dignified, Independent-Minded","Dental problems, eye issues, skin allergies"
Bolognese,13,27.94,3.288544683,"Playful, Easy-Going, Devoted","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,13.5,29.21,14.28815966,"Affectionate, Loyal, Smart","Dental problems, skin allergies, hip dysplasia"
American Hairless Terrier,15,35.56,6.35029318,"Energetic, Alert, Curious","Dental problems, eye issues, skin allergies"
Australian Kelpie,11.5,46.99,22.43197692,"Loyal, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Maltese,13.5,20.32,3.17514659,"Gentle, Playful, Charming","Dental problems, eye issues, skin allergies"
Belgian Malinois,15,60.96,27.2155422,"Confident, Smart, Hardworking","Dental problems, eye issues, skin allergies"
Pyrenean Mastiff,11.5,71.12,81.6466266,"Gentle, Brave, Noble","Ear infections, hip dysplasia, eye problems"
Smooth Fox Terrier,13.5,38.1,7.484274105,"Friendly, Independent, Amusing","Hip dysplasia, heart conditions, cancer"
Bearded Collie,13,53.34,22.6796185,"Smart, Bouncy, Charismatic","Dental problems, eye problems, bladder stones"
Wire Fox Terrier,13.5,38.1,7.484274105,"Confident, Alert, Gregarious","Dental problems, eye issues, skin allergies"
Peruvian Inca Orchid,13,45.085,14.40155775,"Affectionate, Loyal, Noble","Hip dysplasia, eye problems, skin allergies"
Finnish Spitz,14,45.085,12.02019781,"Friendly, Good-Natured, Lively","Hip dysplasia, eye problems, skin allergies"
Tibetan Mastiff,11,63.5,49.8951607,"Independent, Reserved, Intelligent","Dental problems, eye issues, skin allergies"
Brussels Griffon,13.5,21.59,4.08233133,"Loyal, Alert, Curious","Dental problems, eye issues, skin allergies"
Broholmer,9,72.39,54.4310844,"Friendly, Watchful, Loving","Hip dysplasia, epilepsy, bladder stones"
Scottish Terrier,12,25.4,9.0718474,"Confident, Independent, Spirited","Hip dysplasia, heart conditions, cancer"
Danish-Swedish Farmdog,12,34.29,7.937866475,"Energetic, Trainable, Attentive","Dental problems, eye problems, skin allergies"
Golden Retriever,11,57.785,29.48350405,"Friendly, Intelligent, Devoted","Dental problems, eye issues, skin allergies"
Australian Terrier,13,26.67,7.937866475,"Affectionate, Courageous, Spirited","Hip dysplasia, heart conditions, cancer"
Rhodesian Ridgeback,10,64.77,35.15340868,"Affectionate, Dignified, Even-Tempered","Dental problems, eye issues, skin allergies"
Bichon Frise,14.5,26.67,6.80388555,"Playful, Curious, Peppy","Hip dysplasia, epilepsy, bladder stones"
Tornjak,13,64.77,39.00894382,"Friendly, Courageous, Intelligent","Hip dysplasia, eye problems, skin allergies"
Schipperke,13,29.21,5.89670081,"Confident, Alert, Curious","Dental problems, eye issues, skin allergies"
German Shepherd Dog,8.5,60.96,31.7514659,"Confident, Courageous, Smart","Dental problems, eye issues, skin allergies"
Carolina Dog,12.54054312,47.3075,19.27767573,"Loyal, Independent, Reserved with Strangers","Dental problems, eye issues, skin allergies"
Komondor,11,67.31,40.8233133,"Loyal, Dignified, Brave","Hip dysplasia, heart conditions, cancer"
Kai Ken,13.5,44.45,13.6077711,"Loyal, Agile, Keen","Dental problems, respiratory issues, eye problems"
Harrier,13.5,50.8,23.81359943,"Friendly, Outgoing, People-Oriented","Dental problems, eye problems, obesity"
Alaskan Malamute,12,60.96,36.2873896,"Affectionate, Loyal, Playful","Dental problems, eye issues, skin allergies"
Dachshund,14,17.78,9.752235955,"Friendly, Curious, Spunky","Hip dysplasia, elbow dysplasia, pancreatitis"
Italian Greyhound,14.5,35.56,4.762719885,"Playful, Alert, Sensitive","Dental problems, eye issues, respiratory issues"
Sealyham Terrier,13,26.67,10.6594207,"Alert, Outgoing, Sense Of Humor","Hip dysplasia, cancer, heart conditions"
Broholmer,9,72.39,54.4310844,"Friendly, Watchful, Loving","Dental problems, eye issues, skin allergies"
German Wirehaired Pointer,15,60.96,27.2155422,"Affectionate, Eager, Enthusiastic","Hip dysplasia, cancer, skin allergies"
Rottweiler,9.5,62.23,48.76117978,"Loyal, Loving, Confident Guardian","Dental problems, eye issues, skin allergies"
Afghan Hound,13.5,66.04,24.94758035,"Dignified, Profoundly Loyal, Aristocratic","Dental problems, eye issues, skin allergies"
Treeing Tennessee Brindle,11,50.8,18.1436948,"Friendly, Alert, Intelligent","Hip dysplasia, eye problems, skin allergies"
Black and Tan Coonhound,11,63.5,39.68933238,"Easy-Going, Bright, Brave","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,14,46.99,19.27767573,"Alert, Curious, Pleasant","Dental problems, eye issues, skin allergies"
Löwchen,15,30.48,5.669904625,"Affectionate, Outgoing, Positive","Eye problems, respiratory issues, obesity"
Berger Picard,12.5,59.69,27.2155422,"Loyal, Good-Natured, Observant","Hip dysplasia, epilepsy, bladder stones"
Wirehaired Vizsla,13,59.055,24.94758035,"Gentle, Loyal, Trainable","Hip dysplasia, cancer, heart conditions"
Bedlington Terrier,13.5,41.275,9.0718474,"Loyal, Charming, Frollicking","Dental problems, eye issues, skin allergies"
Brittany,13,48.26,15.87573295,"Bright, Fun-Loving, Upbeat","Dental problems, eye problems, respiratory issues"
Bohemian Shepherd,13.5,52.07,21.99922995,"Friendly, Devoted, Alert and Intelligent","Dental problems, eye problems, respiratory issues"
Tibetan Mastiff,11,63.5,49.8951607,"Independent, Reserved, Intelligent","Eye problems, respiratory issues, skin allergies"
Kuvasz,11,71.12,41.95729423,"Loyal, Fearless, Sweet","Skin allergies, eye problems, hip dysplasia"
Bulldog,9,36.83,20.41165665,"Friendly, Courageous, Calm","Dental problems, eye issues, skin allergies"
Old English Sheepdog,11,54.61,36.2873896,"Adaptable, Gentle, Smart","Dental problems, eye issues, skin allergies"
Pekingese,13,19.05,6.35029318,"Affectionate, Loyal, Regal in Manner","Hip dysplasia, eye problems, cancer"
Great Pyrenees,11,72.39,41.95729423,"Smart, Patient, Calm","Hip dysplasia, cancer, skin allergies"
Chinese Shar-Pei,10,48.26,23.81359943,"Loyal, Independent, Calm","Dental problems, eye problems, skin allergies"
Drentsche Patrijshond,12.5,58.42,27.44233839,"Loyal, Intelligent, Sensitive","Dental problems, eye problems, obesity"
Finnish Lapphund,13.5,46.99,19.50447191,"Friendly, Alert, Agile","Dental problems, pancreatitis, diabetes"
Hokkaido,13.5,48.26,24.94758035,"Dignified, Alert, Devoted","Hip dysplasia, heart conditions, cancer"
Norwegian Buhund,13.5,43.815,14.96854821,"Confident, Smart, Perceptive","Dental problems, eye issues, skin allergies"
Smooth Fox Terrier,13.5,38.1,7.484274105,"Friendly, Independent, Amusing","Hip dysplasia, eye problems, skin allergies"
Rat Terrier,15,35.56,7.937866475,"Friendly, Inquisitive, Lovable","Dental problems, eye issues, skin allergies"
Transylvanian Hound,12,60.96,24.94758035,"Courageous, Good-Natured, Determined","Dental problems, eye problems, skin allergies"
Dogo Argentino,12,64.135,42.63768278,"Friendly, Cheerful, Humble","Hip dysplasia, eye problems, cancer"
Mountain Cur,11.5,53.34,20.41165665,"Intelligent, Strong-Willed, Reserved with Strangers","Dental problems, eye issues, skin allergies"
Portuguese Podengo,11,55.88,22.90641469,"Independent, Alert, Intelligent","Dental problems, eye problems, skin allergies"
Portuguese Pointer,14,53.975,21.31884139,"Affectionate, Smart, Energetic","Dental problems, eye issues, skin allergies"
Bavarian Mountain Scent Hound,13.5,47.625,23.36000706,"Loyal, Versatile, Reserved with Strangers","Breathing problems, eye problems, hip dysplasia"
Australian Terrier,13,26.67,7.937866475,"Affectionate, Courageous, Spirited","Dental problems, eye issues, skin allergies"
Miniature Pinscher,14,28.575,4.08233133,"Fearless, Fun-Loving, Proud","Dental problems, eye issues, skin allergies"
Braque Francais Pyrenean,12.54054312,52.705,21.54563758,"Friendly, Smart, Willing to Please","Dental problems, skin allergies, hip dysplasia"
Whippet,13.5,50.8,14.74175203,"Affectionate, Playful, Calm","Dental problems, eye issues, skin allergies"
Australian Stumpy Tail Cattle Dog,13.5,46.99,17.46330625,"Alert, Trainable, Comical","Hip dysplasia, cancer, heart conditions"
Curly-Coated Retriever,11,63.5,35.15340868,"Confident, Proud, Wickedly Smart","Hip dysplasia, heart conditions, cancer"
Welsh Springer Spaniel,13.5,45.72,20.41165665,"Happy, Reserved, Upbeat","Dental problems, eye issues, skin allergies"
Ibizan Hound,12.5,63.5,21.54563758,"Family-Oriented, Even-Tempered, Polite","Dental problems, skin allergies, hip dysplasia"
Glen of Imaal Terrier,12.5,33.655,16.32932532,"Gentle, Spirited, Bold","Hip dysplasia, heart conditions, cancer"
Scottish Deerhound,9.5,76.2,41.95729423,"Gentle, Dignified, Polite","Dental problems, eye issues, skin allergies"
Collie,13,60.96,28.34952312,"Devoted, Graceful, Proud","Dental problems, skin allergies, hip dysplasia"
Drentsche Patrijshond,12.5,58.42,27.44233839,"Loyal, Intelligent, Sensitive","Hip dysplasia, cancer, skin allergies"
Chihuahua,15,16.51,2.72155422,"Charming, Graceful, Sassy","Hip dysplasia, cancer, heart conditions"
Silky Terrier,14,24.13,4.5359237,"Friendly, Quick, Keenly Alert","Dental problems, eye issues, skin allergies"
Weimaraner,11.5,63.5,32.88544683,"Friendly, Fearless, Obedient","Hip dysplasia, eye problems, heart conditions"
Silky Terrier,14,24.13,4.5359237,"Friendly, Quick, Keenly Alert","Dental problems, eye issues, skin allergies"
Schapendoes,13.5,45.72,18.37049099,"Friendly, Watchful, Lively","Dental problems, eye issues, skin allergies"
Irish Terrier,14,45.72,11.79340162,"Bold, Dashing, Tenderhearted","Dental problems, eye issues, skin allergies"
Anatolian Shepherd Dog,12,71.12,52.16312255,"Loyal, Independent, Reserved","Hip dysplasia, epilepsy, bladder stones"
Boxer,11,59.055,21.54563758,"Bright, Fun-Loving, Active","Hip dysplasia, eye problems, epilepsy"
Pointer,14.5,64.77,27.2155422,"Loyal, Hardworking, Even-Tempered","Dental problems, eye problems, bladder stones"
Hanoverian Scenthound,12,50.8,40.36972093,"Loyal, Independent, Calm","Hip dysplasia, cancer, heart conditions"
Flat-Coated Retriever,9,59.055,29.48350405,"Cheerful, Optimistic, Good-Humored","Hip dysplasia, eye problems, cancer"
Mountain Cur,11.5,53.34,20.41165665,"Intelligent, Strong-Willed, Reserved with Strangers","Hip dysplasia, eye problems, skin allergies"
American Hairless Terrier,15,35.56,6.35029318,"Energetic, Alert, Curious","Hip dysplasia, heart conditions, cancer"
Giant Schnauzer,13.5,64.77,31.7514659,"Loyal, Alert, Trainable","Dental problems, eye issues, skin allergies"
Boerboel,10,62.23,79.37866475,"Confident, Intelligent, Calm","Dental problems, eye issues, skin allergies"
Japanese Spitz,13,34.29,7.937866475,"Loyal, Playful, Smart","Hip dysplasia, heart conditions, cancer"
Norwich Terrier,13.5,25.4,5.44310844,"Affectionate, Alert, Curious","Dental problems, skin allergies, hip dysplasia"
Field Spaniel,12.5,44.45,19.27767573,"Sweet, Fun-Loving, Sensitive","Dental problems, eye issues, skin allergies"
Romanian Mioritic Shepherd Dog,13,65.405,52.16312255,"Loyal, Independent, Confident Guardian","Hip dysplasia, cancer, elbow dysplasia"
West Highland White Terrier,14,26.67,7.937866475,"Loyal, Happy, Entertaining","Hip dysplasia, cancer, skin allergies"
Puli,12.5,41.91,13.6077711,"Loyal, Smart, Home-Loving","Dental problems, skin allergies, hip dysplasia"
Curly-Coated Retriever,11,63.5,35.15340868,"Confident, Proud, Wickedly Smart","Dental problems, respiratory issues, eye problems"
Havanese,15,25.4,4.5359237,"Intelligent, Outgoing, Funny","Dental problems, skin allergies, hip dysplasia"
Rat Terrier,15,35.56,7.937866475,"Friendly, Inquisitive, Lovable","Hip dysplasia, eye problems, cancer"
Doberman Pinscher,11,66.04,36.2873896,"Loyal, Fearless, Alert","Dental problems, eye issues, skin allergies"
Smooth Fox Terrier,13.5,38.1,7.484274105,"Friendly, Independent, Amusing","Dental problems, eye issues, skin allergies"
Treeing Tennessee Brindle,11,50.8,18.1436948,"Friendly, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Schapendoes,13.5,45.72,18.37049099,"Friendly, Watchful, Lively","Hip dysplasia, eye problems, skin allergies"
Berger Picard,12.5,59.69,27.2155422,"Loyal, Good-Natured, Observant","Hip dysplasia, eye problems, skin allergies"
Toy Fox Terrier,14,25.4,2.381359943,"Friendly, Alert, Intelligent","Dental problems, ear infections, obesity"
Polish Lowland Sheepdog,13,46.99,18.1436948,"Confident, Clever, Lively","Dental problems, respiratory issues, eye problems"
Slovensky Kopov,12.5,45.72,17.46330625,"Courageous, Alert, Determined","Dental problems, eye issues, skin allergies"
German Pinscher,13,46.99,15.87573295,"Courageous, Intelligent, Vivacious","Dental problems, eye issues, skin allergies"
Portuguese Sheepdog,12.5,48.26,21.88583185,"Intelligent, Devoted, Lively","Hip dysplasia, eye problems, skin allergies"
Norfolk Terrier,14,24.13,5.216312255,"Fearless, Alert, Fun-Loving","Dental problems, eye issues, skin allergies"
Irish Red and White Setter,13,61.595,21.54563758,"Courageous, Spirited, Determined","Hip dysplasia, cancer, skin allergies"
Portuguese Sheepdog,12.5,48.26,21.88583185,"Intelligent, Devoted, Lively","Breathing problems, eye problems, hip dysplasia"
Dogue de Bordeaux,6.5,62.23,47.40040267,"Affectionate, Loyal, Courageous","Hip dysplasia, epilepsy, bladder stones"
Silky Terrier,14,24.13,4.5359237,"Friendly, Quick, Keenly Alert","Dental problems, skin allergies, hip dysplasia"
Collie,13,60.96,28.34952312,"Devoted, Graceful, Proud","Hip dysplasia, cancer, skin allergies"
Scottish Deerhound,9.5,76.2,41.95729423,"Gentle, Dignified, Polite","Hip dysplasia, cancer, skin allergies"
Russell Terrier,13,27.94,5.44310844,"Alert, Inquisitive, Lively","Dental problems, eye issues, skin allergies"
Central Asian Shepherd Dog,12.54054312,67.31,44.90564463,"Independent, Courageous, Self-Confident","Dental problems, eye issues, skin allergies"
Harrier,13.5,50.8,23.81359943,"Friendly, Outgoing, People-Oriented","Dental problems, eye issues, skin allergies"
Belgian Malinois,15,60.96,27.2155422,"Confident, Smart, Hardworking","Intervertebral disc disease, hip dysplasia, diabetes"
Doberman Pinscher,11,66.04,36.2873896,"Loyal, Fearless, Alert","Hip dysplasia, eye problems, cancer"
Basset Hound,12.5,38.1,23.81359943,"Charming, Patient, Low-Key","Hip dysplasia, heart conditions, cancer"
Greyhound,11.5,72.39,29.48350405,"Gentle, Independent, Noble","Dental problems, skin allergies, hip dysplasia"
Komondor,11,67.31,40.8233133,"Loyal, Dignified, Brave","Dental problems, pancreatitis, diabetes"
American Foxhound,12,58.42,29.48350405,"Independent, Easy-Going, Sweet-Tempered","Skin allergies, eye problems, hip dysplasia"
Bohemian Shepherd,13.5,52.07,21.99922995,"Friendly, Devoted, Alert and Intelligent","Hip dysplasia, cancer, heart conditions"
Broholmer,9,72.39,54.4310844,"Friendly, Watchful, Loving","Dental problems, eye issues, skin allergies"
Boston Terrier,12,40.64,8.391458845,"Friendly, Bright, Amusing","Dental problems, eye issues, skin allergies"
Saluki,13.5,64.77,23.81359943,"Gentle, Dignified, Independent-Minded","Dental problems, respiratory issues, eye problems"
Norrbottenspets,15.5,43.815,11.33980925,"Fearless, Agile, Attentive","Dental problems, eye issues, skin allergies"
Swedish Vallhund,13.5,32.0675,12.47379018,"Friendly, Energetic, Watchful","Dental problems, eye issues, skin allergies"
Finnish Lapphund,13.5,46.99,19.50447191,"Friendly, Alert, Agile","Hip dysplasia, eye problems, heart conditions"
Jindo,14,50.8,18.1436948,"Alert, Intelligent, Bold","Dental problems, skin allergies, hip dysplasia"
Curly-Coated Retriever,11,63.5,35.15340868,"Confident, Proud, Wickedly Smart","Hip dysplasia, cancer, skin allergies"
Beagle,12.5,35.56,9,"Friendly, Curious, Merry","Dental problems, eye issues, skin allergies"
Grand Basset Griffon Vendéen,14,42.545,19.27767573,"Independent, Happy, Outgoing","Dental problems, eye issues, skin allergies"
Komondor,11,67.31,40.8233133,"Loyal, Dignified, Brave","Dental problems, eye issues, skin allergies"
Chow Chow,10,46.99,26.08156128,"Dignified, Bright, Serious-Minded","Hip dysplasia, eye problems, heart conditions"
Keeshond,13.5,44.45,18.1436948,"Friendly, Lively, Outgoing","Ear infections, hip dysplasia, epilepsy"
